model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,dansk,angry_tweets,scala_da,scandiqa_da,nordjylland_news,danske_talemaader,danish_citizen_tests,hellaswag_da
"gpt-4-0613 (few-shot, val)",-1,100,8192,True,False,597,1.12,64.94,59.97,71.56,56.43,66.76,94.93,93.98,81.64
"gpt-4-1106-preview (few-shot, val)",-1,100,127999,True,False,576,1.2,66.8,61.62,66.84,56.85,66.21,95.21,97.19,78.74
"gpt-4o-2024-05-13 (few-shot, val)",-1,200,127999,True,False,916,1.23,71.15,49.42,64.59,57.35,66.03,96.41,97.68,85.96
AI-Sweden-Models/Llama-3-8B-instruct (few-shot),8030,128,8192,False,False,4314,1.35,58.44,54.96,70.55,60.95,66.99,80.95,76.88,73.73
"syvai/danskgpt-chat-llama3-70b (few-shot, val)",70554,128,8192,True,False,1283,1.35,65.4,62.78,57.88,62.24,66.78,86.2,80.14,66.22
"meta-llama/Meta-Llama-3-70B (few-shot, val)",70554,128,8192,True,False,312,1.45,63.62,60.19,50.07,60.97,67.33,83.94,78.83,60.69
"gpt-3.5-turbo-0613 (few-shot, val)",-1,100,4094,True,False,921,1.57,61.31,52.52,57.63,57.03,66.38,81.95,77.66,62.21
"meta-llama/Meta-Llama-3-70B-Instruct (few-shot, val)",70554,128,8192,True,False,1673,1.66,63.1,53.09,40.98,51.13,67.76,85.18,79.22,70.19
"meta-llama/Llama-2-70b-hf (few-shot, val)",68977,32,4096,True,False,1892,1.72,58.06,53.24,39.71,62.51,67.39,84.43,71.35,54.31
"152334H/miqu-1-70b-sf (few-shot, val)",68977,32,32764,True,False,2126,1.73,56.96,55.11,42.64,54.58,66.8,83.94,73.32,60.52
mhenrichsen/danskgpt-chat-v2.1 (few-shot),-1,32,32768,True,False,5085,1.96,51.08,54.69,30.95,56.56,66.9,79.39,73.22,48.16
timpal0l/sol (few-shot),10732,32,4096,False,False,3701,1.98,54.91,44.38,21.11,58.96,66.89,61.12,64.86,67.96
upstage/SOLAR-10.7B-v1.0 (few-shot),10732,32,4096,True,False,3780,1.99,58.03,46.63,15.09,62.15,66.81,64.79,68.59,65.29
Nexusflow/Starling-LM-7B-beta (few-shot),7242,32,8192,False,False,5876,2.0,53.2,51.75,32.72,56.44,67.46,59.78,58.63,50.74
"RJuro/munin-neuralbeagle-7b (few-shot, val)",7242,32,32768,False,True,2493,2.06,51.44,54.91,22.77,56.51,68.06,74.24,70.86,41.49
"birgermoell/BeagleCatMunin-Flashback-Bellman (few-shot, val)",7242,32,32768,False,True,2890,2.2,50.4,52.3,21.3,58.17,66.25,65.32,64.76,33.7
"birgermoell/Rapid-Cycling (few-shot, val)",7242,32,32768,False,True,2346,2.2,49.99,51.25,20.66,56.82,65.58,67.48,63.69,32.11
"merge-crew/da-sv-slerp (few-shot, val)",7242,32,32768,True,True,2467,2.2,45.94,51.75,28.04,57.65,66.65,68.88,64.81,23.63
"merge-crew/da-sv-task-arithmetic (few-shot, val)",7242,32,32768,True,True,2500,2.2,46.06,51.51,27.68,57.78,66.62,68.64,66.17,23.95
"mlabonne/NeuralBeagle14-7B (few-shot, val)",7242,32,8192,False,True,2549,2.2,53.02,51.29,19.73,51.69,67.33,65.38,62.78,39.07
"RJuro/munin-neuralbeagle-SkoleGPTOpenOrca-7b (few-shot, val)",7242,32,32768,False,True,3008,2.22,50.83,43.41,19.72,57.87,66.77,72.92,68.11,40.62
"timpal0l/BeagleCatMunin2 (few-shot, val)",7242,32,32768,False,True,2477,2.22,51.53,47.95,14.1,58.28,68.04,67.37,66.75,42.21
"meta-llama/Llama-2-70b-chat-hf (few-shot, val)",68977,32,4096,True,False,1979,2.24,52.22,50.66,23.57,53.82,67.13,69.26,46.4,39.72
"timpal0l/BeagleCatMunin (few-shot, val)",7242,32,32768,False,True,2495,2.24,47.62,54.73,21.8,57.26,67.31,66.49,60.41,28.51
Mabeck/Heidrun-Mistral-7B-chat (few-shot),7242,32,32768,False,False,5822,2.29,50.8,42.79,23.25,59.9,67.5,66.61,64.8,29.18
four-two-labs/orpo-llama-3-swe (few-shot),8030,128,8192,False,False,4974,2.29,46.75,51.73,24.73,59.97,65.21,55.72,61.59,25.43
meta-llama/Meta-Llama-3-8B (few-shot),8030,128,8192,True,False,4687,2.3,46.31,51.29,25.7,59.79,65.16,56.2,61.16,24.99
"mlabonne/AlphaMonarch-7B (few-shot, val)",7242,32,8192,False,True,5340,2.31,52.72,49.11,16.09,46.28,66.62,60.03,59.83,40.4
senseable/WestLake-7B-v2 (few-shot),7242,32,32768,False,False,5993,2.31,52.61,49.81,19.64,48.03,66.67,57.65,51.99,44.44
syvai/llama3-da-base (few-shot),8030,128,8192,True,False,3191,2.31,49.97,48.61,28.16,59.55,66.16,54.55,62.19,20.36
"timpal0l/dolphin-2.9-llama3-8b-flashback (few-shot, val)",8030,128,8192,False,True,5018,2.31,51.37,52.17,27.98,51.65,66.25,57.31,54.17,27.65
danish-foundation-models/munin-7b-v0.1dev0 (few-shot),7242,32,8192,True,False,6113,2.32,39.12,36.47,26.76,58.75,67.89,91.32,79.92,24.76
ThatsGroes/munin-SkoleGPTOpenOrca-7b-16bit (few-shot),7242,32,32768,False,False,3006,2.33,45.37,39.63,21.77,58.28,67.91,78.71,63.74,28.58
"birgermoell/Munin-NeuralBeagle-NorskGPT (few-shot, val)",7242,32,32768,False,True,2903,2.36,51.85,44.02,1.22,57.69,67.69,68.45,65.51,42.09
"birgermoell/WestLake-Munin-Cat-NorskGPT (few-shot, val)",7242,32,32768,False,True,2856,2.36,51.85,44.02,1.22,57.69,67.69,68.45,65.51,42.09
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),8030,128,8192,True,False,4909,2.36,57.74,48.43,27.12,46.76,66.36,57.87,50.42,29.17
timpal0l/njord-alpha (few-shot),7242,32,32768,True,False,5431,2.37,38.25,39.37,29.76,57.02,67.57,83.45,70.43,16.43
