model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,dansk,angry_tweets,scala_da,scandiqa_da
"gpt-4-0613 (few-shot, val)",-1,100,8192,True,False,597,1.24,64.94,59.97,71.56,56.43
"gpt-4-1106-preview (few-shot, val)",-1,100,127999,True,False,576,1.25,66.8,61.62,66.84,56.85
"syvai/danskgpt-chat-llama3-70b (few-shot, val)",70554,128,8192,True,False,1283,1.29,65.4,62.78,57.88,62.24
AI-Sweden-Models/roberta-large-1160k,355,50,512,True,False,14014,1.39,74.16,51.2,73.87,49.34
KennethEnevoldsen/dfm-sentence-encoder-large-1,355,50,512,True,False,6245,1.39,74.99,53.85,75.71,44.85
KennethEnevoldsen/dfm-sentence-encoder-large-2,355,50,512,True,False,6569,1.39,75.3,55.12,76.34,45.15
danish-foundation-models/encoder-large-v1,355,50,512,True,False,6671,1.4,74.6,51.42,76.11,47.42
"meta-llama/Meta-Llama-3-70B (few-shot, val)",70554,128,8192,True,False,312,1.4,63.62,60.19,50.07,60.97
AI-Sweden-Models/Llama-3-8B-instruct (few-shot),8030,128,8192,False,False,4314,1.44,58.44,54.96,70.55,60.95
AI-Sweden-Models/roberta-large-1350k,355,50,512,True,False,5744,1.45,75.22,49.94,72.59,48.97
"gpt-4o-2024-05-13 (few-shot, val)",-1,200,127999,True,False,916,1.46,71.15,49.42,64.59,57.35
ltg/norbert3-large,354,50,508,True,False,5048,1.53,73.62,48.29,71.55,48.59
NbAiLab/nb-bert-large,355,50,512,True,False,6343,1.55,70.38,49.07,72.02,45.72
vesteinn/DanskBERT,124,50,512,True,False,15749,1.56,72.55,52.86,75.2,37.65
google/rembert,576,250,256,True,False,11736,1.61,70.19,50.19,69.72,39.85
"gpt-3.5-turbo-0613 (few-shot, val)",-1,100,4094,True,False,921,1.62,61.31,52.52,57.63,57.03
intfloat/multilingual-e5-large,560,250,512,True,False,6732,1.63,69.5,55.07,57.67,46.71
gpt-3.5-turbo-0613 (few-shot),-1,100,4096,True,False,837,1.69,59.4,51.8,54.22,56.55
NbAiLab/nb-roberta-base-scandi,278,250,512,True,False,15079,1.72,73.28,52.08,67.99,32.39
KennethEnevoldsen/dfm-sentence-encoder-medium-3,178,120,512,True,False,14050,1.73,71.21,47.55,68.72,38.33
microsoft/mdeberta-v3-base,279,251,512,True,False,20637,1.73,72.9,43.38,67.05,42.15
FacebookAI/xlm-roberta-large,560,250,512,True,False,17897,1.74,72.74,48.33,57.3,43.57
"meta-llama/Llama-2-70b-hf (few-shot, val)",68977,32,4096,True,False,1892,1.74,58.06,53.24,39.71,62.51
"152334H/miqu-1-70b-sf (few-shot, val)",68977,32,32764,True,False,2126,1.78,56.96,55.11,42.64,54.58
NbAiLab/nb-roberta-base-scandi-1e4,278,250,512,True,False,15074,1.8,72.16,51.7,62.03,29.95
NbAiLab/nb-bert-base,178,120,512,True,False,14050,1.81,70.36,46.32,66.41,36.42
"meta-llama/Meta-Llama-3-70B-Instruct (few-shot, val)",70554,128,8192,True,False,1673,1.81,63.1,53.09,40.98,51.13
pere/roberta-debug-8,278,250,512,True,False,15103,1.82,71.34,49.77,64.31,31.86
sentence-transformers/use-cmlm-multilingual,471,501,512,True,False,30231,1.83,69.17,48.03,55.31,42.34
