model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,conll_nl,dutch_social,scala_nl,squad_nl,wiki_lingua_nl,mmlu_nl,hellaswag_nl
gpt-4-1106-preview,-1,100,128000,True,False,573,1.25,66.44,15.05,74.01,57.81,67.13,65.88,84.97
upstage/SOLAR-10.7B-v1.0,10732,32,4096,True,False,3780,1.9,65.37,11.93,41.67,67.75,68.83,40.18,65.34
gpt-3.5-turbo-0613 (val),-1,100,4095,True,False,921,1.97,68.96,8.81,58.95,55.57,69.13,42.28,61.52
Nexusflow/Starling-LM-7B-beta,7242,32,8192,False,False,5876,1.98,64.47,13.83,45.69,58.03,69.34,37.6,54.33
mlabonne/NeuralBeagle14-7B (val),7242,32,8192,False,True,2549,2.27,63.53,11.25,27.76,50.94,71.2,40.23,47.87
mlabonne/AlphaMonarch-7B (val),7242,32,8192,False,True,5340,2.42,64.71,11.14,25.22,46.34,67.71,38.49,47.66
robinsmits/Qwen1.5-7B-Dutch-Chat-Sft-Bf16,7719,152,32768,False,False,2413,2.51,56.83,14.79,23.58,55.9,65.06,33.73,29.29
robinsmits/Qwen1.5-7B-Dutch-Chat,7719,152,32768,False,False,4686,2.57,57.81,14.62,25.34,56.81,60.51,34.78,30.29
NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v2,-1,32,32768,False,False,5954,2.67,58.06,9.95,25.16,60.86,63.81,33.57,34.62
Rijgersberg/Mistral-7B-v0.1-chat-nl,7242,32,32768,False,False,5907,2.7,56.73,11.08,19.41,58.91,68.05,31.39,16.49
BramVanroy/GEITje-7B-ultra,7242,32,8192,False,False,2475,2.77,42.25,12.78,18.23,53.41,68.3,26.92,25.72
alpindale/Mistral-7B-v0.2-hf,7242,32,32768,True,False,1841,2.78,56.76,7.11,23.55,61.89,64.33,34.92,23.87
mistralai/Mistral-7B-Instruct-v0.2,7242,32,32768,False,False,2538,2.79,55.56,12.37,21.5,50.77,67.99,22.86,24.8
mistralai/Mistral-7B-v0.1,7242,32,32768,True,False,2657,2.81,58.15,7.94,25.41,62.56,64.24,35.49,19.88
Rijgersberg/GEITje-7B-chat-v2,7242,32,32768,False,False,5908,2.9,42.12,11.06,19.71,59.19,65.55,27.71,18.03
RuterNorway/Llama-2-13b-chat-norwegian,-1,32,4096,False,False,7778,2.93,57.66,8.41,16.93,56.29,66.22,25.7,17.92
occiglot/occiglot-7b-eu5-instruct,7242,32,32768,False,False,2088,2.95,53.78,7.78,16.23,63.09,66.46,28.37,15.25
Rijgersberg/GEITje-7B-chat,7242,32,32768,False,False,5920,3.02,50.69,8.16,20.45,54.48,66.92,24.89,9.84
Qwen/Qwen1.5-4B-Chat,3950,152,32768,False,False,4347,3.06,42.52,14.68,4.07,55.18,62.75,24.25,16.21
occiglot/occiglot-7b-eu5,7242,32,32768,True,False,2219,3.07,51.31,7.41,13.04,59.28,64.66,27.12,13.99
Rijgersberg/GEITje-7B,7242,32,32768,True,False,10401,3.08,47.53,4.36,30.67,56.55,67.58,28.12,11.7
mistralai/Mistral-7B-Instruct-v0.1,7242,32,32768,False,False,5443,3.1,52.72,7.91,18.14,52.75,64.77,26.06,14.26
meta-llama/Llama-2-7b-chat-hf,6738,32,4096,False,False,2643,3.12,50.23,10.07,14.73,53.42,67.59,20.19,11.42
BramVanroy/GEITje-7B-ultra-sft,7242,32,8192,False,False,5979,3.18,39.41,7.0,16.1,53.02,67.74,25.8,12.49
timpal0l/Mistral-7B-v0.1-flashback-v2,7242,32,32768,True,False,5054,3.19,54.56,8.43,10.99,55.91,57.88,25.12,10.65
01-ai/Yi-6B,6061,64,4096,True,False,2786,3.23,46.34,8.96,0.88,55.33,58.35,29.33,20.27
