model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,conll_nl,dutch_social,scala_nl,squad_nl
intfloat/multilingual-e5-large,559,250,512,True,False,6732,1.42,82.31,32.64,58.51,45.32
setu4993/LaBSE,470,501,512,True,False,25418,1.5,82.02,33.99,60.77,41.55
"gpt-4-0613 (few-shot, val)",-1,100,8316,True,False,597,1.69,73.35,18.92,76.7,55.03
DTAI-KULeuven/robbert-2022-dutch-base,118,43,512,True,False,11307,1.78,79.84,24.58,68.76,27.63
pdelobelle/robbert-v2-dutch-base,116,40,512,True,False,15481,1.81,78.3,26.68,63.83,28.34
"meta-llama/Meta-Llama-3-70B (few-shot, val)",70554,128,8317,True,False,312,1.84,72.91,19.08,54.33,63.99
ZurichNLP/unsup-simcse-xlm-roberta-base,277,250,512,True,False,34520,1.86,78.45,22.67,54.92,31.82
gpt-4-1106-preview (few-shot),-1,100,128000,True,False,573,1.98,66.44,14.22,72.3,57.81
intfloat/multilingual-e5-base,277,250,512,True,False,14965,2.0,79.12,27.67,39.28,35.71
DTAI-KULeuven/robbertje-1-gb-non-shuffled,74,40,512,True,False,21007,2.06,74.5,32.23,54.57,6.31
"152334H/miqu-1-70b-sf (few-shot, val)",68977,32,32889,True,False,2126,2.1,67.0,15.33,55.48,61.02
DTAI-KULeuven/robbert-2023-dutch-base,124,50,512,True,False,11230,2.1,82.22,28.2,55.12,9.74
FacebookAI/xlm-roberta-large,559,250,512,True,False,17897,2.1,83.49,8.82,64.8,50.72
"meta-llama/Meta-Llama-3-70B-Instruct (few-shot, val)",70554,128,8317,True,False,1673,2.12,74.64,18.9,49.54,44.77
DTAI-KULeuven/robbertje-1-gb-merged,74,40,512,True,False,21027,2.14,72.51,32.26,50.0,5.97
"gpt-4o-2024-05-13 (few-shot, val)",-1,200,127999,True,False,916,2.14,76.75,10.8,56.26,55.55
jhu-clsp/bernice,277,250,128,True,False,5567,2.17,78.74,22.58,55.39,5.95
DTAI-KULeuven/robbert-2023-dutch-large,354,50,512,True,False,5444,2.19,81.05,16.35,65.18,11.44
DTAI-KULeuven/robbertje-1-gb-shuffled,74,40,512,True,False,20616,2.22,73.55,26.02,57.03,6.64
microsoft/mdeberta-v3-base,278,251,512,True,False,20637,2.25,84.47,5.16,71.23,46.43
"gpt-3.5-turbo-0613 (few-shot, val)",-1,100,4095,True,False,921,2.27,68.96,8.81,58.95,55.57
Nexusflow/Starling-LM-7B-beta (few-shot),7242,32,8192,False,False,5876,2.29,64.47,13.83,45.69,58.03
google/rembert,575,250,512,True,False,11736,2.29,75.49,4.79,66.47,55.7
upstage/SOLAR-10.7B-v1.0 (few-shot),10732,32,4096,True,False,3780,2.33,65.37,11.93,41.67,67.75
cardiffnlp/twitter-xlm-roberta-base,277,250,512,True,False,34475,2.36,77.15,18.78,56.72,14.61
"meta-llama/Llama-2-70b-hf (few-shot, val)",68977,32,4221,True,False,1892,2.4,66.5,7.82,49.55,65.26
sentence-transformers/paraphrase-xlm-r-multilingual-v1,277,250,512,True,False,20154,2.42,70.59,21.37,45.86,5.2
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),8030,128,8192,True,False,4909,2.48,68.72,14.67,32.91,45.36
DTAI-KULeuven/robbertje-1-gb-bort,45,40,512,True,False,31087,2.5,66.74,24.93,37.19,5.23
"meta-llama/Llama-2-70b-chat-hf (few-shot, val)",68977,32,4221,True,False,1979,2.5,64.0,13.3,30.88,54.14
meta-llama/Meta-Llama-3-8B (few-shot),8030,128,8192,True,False,4687,2.54,62.26,10.45,30.3,62.99
senseable/WestLake-7B-v2 (few-shot),7242,32,32768,False,False,5993,2.59,64.25,13.66,28.59,49.64
robinsmits/Qwen1.5-7B-Dutch-Chat (few-shot),7719,152,32768,False,False,4686,2.61,57.81,14.62,25.34,56.81
robinsmits/Qwen1.5-7B-Dutch-Chat-Sft-Bf16 (few-shot),7719,152,32768,False,False,2413,2.65,56.83,14.79,23.58,55.9
yhavinga/Boreas-7B-chat (few-shot),7242,32,32768,False,False,2913,2.65,60.22,11.97,30.94,52.19
"mlabonne/NeuralBeagle14-7B (few-shot, val)",7242,32,8192,False,True,2549,2.66,63.53,11.25,27.76,50.94
ReBatch/Llama-3-8B-dutch (few-shot),8030,128,8317,False,False,3800,2.71,60.14,11.07,15.67,59.93
microsoft/xlm-align-base,277,250,512,True,False,14744,2.73,78.85,11.8,14.56,42.08
sentence-transformers/quora-distilbert-multilingual,135,120,512,True,False,26458,2.73,67.89,23.25,21.36,4.5
Rijgersberg/Mistral-7B-v0.1-chat-nl (few-shot),7242,32,32768,False,False,5907,2.75,56.73,11.08,19.41,58.91
