model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,conll_en,sst5,scala_en,squad,cnn_dailymail,mmlu,hellaswag
gpt-4-0613 (val),-1,100,8191,True,False,597,1.09,78.06,69.06,55.76,67.35,70.54,72.27,91.51
VAGOsolutions/SauerkrautLM-7b-LaserChat,7242,32,8192,False,False,2387,1.35,71.91,69.68,46.89,76.21,70.19,50.39,83.53
upstage/SOLAR-10.7B-v1.0,10732,32,4096,True,False,3780,1.36,69.5,70.01,41.35,76.79,71.16,51.95,90.94
Nexusflow/Starling-LM-7B-beta,7242,32,8192,False,False,5876,1.39,71.81,69.98,45.34,72.49,70.37,50.93,83.82
VAGOsolutions/FC-SauerkrautLM-7b-beta,-1,32,8192,False,False,2160,1.5,70.15,69.36,37.09,77.39,69.72,50.1,77.27
gpt-3.5-turbo-0613 (val),-1,100,4095,True,False,921,1.62,71.48,66.41,41.43,67.9,69.57,43.69,75.6
VAGOsolutions/SauerkrautLM-7b-HerO (val),7242,32,32768,False,True,2477,1.73,69.26,68.63,29.87,60.92,70.2,49.51,71.47
cstr/Spaetzle-v8-7b (val),7242,32,32768,False,True,5980,1.81,69.4,65.39,26.69,49.74,71.02,52.23,74.61
mlabonne/NeuralBeagle14-7B (val),7242,32,8192,False,True,2549,1.81,69.16,63.85,28.4,52.69,70.55,51.74,71.96
robinsmits/Qwen1.5-7B-Dutch-Chat-Sft-Bf16,7719,152,32768,False,False,2413,1.81,67.52,63.1,37.75,64.88,68.45,47.66,63.35
mistralai/Mistral-7B-v0.1,7242,32,32768,True,False,2657,1.87,63.4,68.17,30.92,73.45,69.11,47.74,34.96
01-ai/Yi-6B,6061,64,4096,True,False,2786,1.9,52.7,68.66,25.29,75.89,64.51,50.89,68.29
alpindale/Mistral-7B-v0.2-hf,7242,32,32768,True,False,1841,1.91,61.02,67.1,29.82,73.5,69.02,47.13,35.88
mlabonne/AlphaMonarch-7B (val),7242,32,8192,False,True,5340,1.96,69.19,63.77,28.43,44.39,69.77,46.53,71.36
occiglot/occiglot-7b-de-en-instruct,7242,32,32768,False,False,1584,1.96,60.9,66.54,23.6,75.14,68.96,42.53,41.79
mistralai/Mistral-7B-Instruct-v0.1,7242,32,32768,False,False,5443,2.05,57.58,61.44,34.92,65.38,69.62,38.4,35.72
Qwen/Qwen1.5-4B,3950,152,32768,True,False,3248,2.06,55.45,60.55,28.6,70.49,68.67,39.82,51.82
occiglot/occiglot-7b-de-en,7242,32,32768,True,False,1992,2.07,56.07,65.29,25.78,73.13,68.76,41.47,32.75
timpal0l/Mistral-7B-v0.1-flashback-v2,7242,32,32768,True,False,5054,2.07,59.1,68.41,25.43,71.89,67.99,44.09,32.29
Qwen/Qwen1.5-4B-Chat,3950,152,32768,False,False,4347,2.1,58.56,59.62,28.55,70.04,67.27,38.68,47.47
RuterNorway/Llama-2-13b-chat-norwegian,-1,32,4096,False,False,7778,2.11,64.93,64.14,28.08,62.09,68.84,36.49,38.09
occiglot/occiglot-7b-eu5-instruct,7242,32,32768,False,False,2088,2.16,56.9,62.1,20.17,75.29,69.63,38.48,27.67
danish-foundation-models/munin-7b-v0.1dev0,7242,32,8192,True,False,6113,2.17,56.38,66.04,22.15,71.32,68.13,35.47,29.25
mistralai/Mistral-7B-Instruct-v0.2,7242,32,32768,False,False,2538,2.17,62.11,59.91,30.66,58.27,69.75,34.93,44.91
meta-llama/Llama-2-7b-chat-hf,6738,32,4096,False,False,2643,2.26,62.53,62.23,22.71,64.45,69.95,30.47,30.18
occiglot/occiglot-7b-eu5,7242,32,32768,True,False,2219,2.3,55.37,63.32,18.92,72.38,68.61,37.04,23.54
microsoft/phi-2,2780,51,2048,True,False,3472,2.35,49.16,62.41,12.31,75.79,67.79,40.15,23.21
meta-llama/Llama-2-7b-hf,6738,32,4096,True,False,2648,2.39,55.27,65.16,20.43,69.82,68.82,25.98,11.77
Rijgersberg/GEITje-7B,7242,32,32768,True,False,10401,2.47,53.39,65.21,12.63,65.74,68.05,31.65,17.69
Qwen/Qwen1.5-1.8B,1837,152,32768,True,False,5666,2.61,37.22,64.34,15.3,64.41,68.15,27.24,22.84
Qwen/Qwen1.5-1.8B-Chat,1837,152,32768,False,False,8304,2.73,40.89,55.33,11.23,60.69,67.23,26.84,23.89
AI-Sweden-Models/gpt-sw3-20b-instruct,20918,64,2048,True,False,4572,2.78,39.21,65.58,7.82,72.25,64.07,14.98,13.55
google/gemma-2b,2506,256,8192,True,False,6087,2.9,19.65,62.14,8.3,66.3,66.51,20.38,7.41
VAGOsolutions/SauerkrautLM-Gemma-2b,2506,256,8192,False,False,3607,2.91,23.28,61.91,6.92,64.68,65.15,22.65,14.54
google/gemma-2b-it,2506,256,8192,False,False,6471,2.98,40.05,48.83,5.83,63.77,67.28,18.21,10.84
Qwen/Qwen1.5-0.5B-Chat,620,152,32768,False,False,11740,3.17,33.86,55.41,1.15,53.34,65.81,11.66,5.22
Qwen/Qwen1.5-0.5B,620,152,32768,True,False,11371,3.18,37.51,57.15,2.94,42.57,65.22,18.24,10.89
