model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,conll_en,sst5,scala_en,squad
microsoft/deberta-v3-large,434,128,512,True,False,2521,1.1,91.88,64.04,75.1,74.47
microsoft/deberta-v3-base,184,128,512,True,False,5367,1.32,91.57,61.66,68.74,68.69
FacebookAI/roberta-large,354,50,512,True,False,4542,1.41,91.53,62.92,48.77,71.23
google/electra-base-discriminator,109,31,512,True,False,9977,1.46,89.83,63.55,67.87,58.27
gpt-4-0613 (val),-1,100,8191,True,False,597,1.47,78.06,69.06,55.76,67.35
VAGOsolutions/SauerkrautLM-7b-LaserChat,7242,32,8192,False,False,2387,1.55,71.91,69.68,46.89,76.21
FacebookAI/roberta-base,124,50,512,True,False,13354,1.56,91.0,59.54,57.29,62.75
microsoft/mdeberta-v3-base,278,251,512,True,False,9237,1.58,91.83,53.75,62.11,62.1
AI-Sweden-Models/roberta-large-1160k,354,50,512,True,False,5741,1.6,89.53,53.9,55.31,69.89
AI-Sweden-Models/roberta-large-1350k,354,50,512,True,False,5744,1.61,89.48,51.88,50.69,69.46
Nexusflow/Starling-LM-7B-beta,7242,32,8192,False,False,5876,1.62,71.81,69.98,45.34,72.49
google-bert/bert-large-cased,333,29,512,True,False,5051,1.62,89.84,58.19,63.62,55.17
upstage/SOLAR-10.7B-v1.0,10732,32,4096,True,False,3780,1.64,69.5,70.01,41.35,76.79
VAGOsolutions/FC-SauerkrautLM-7b-beta,-1,32,8192,False,False,2160,1.68,70.15,69.36,37.09,77.39
google-bert/bert-large-uncased,334,31,512,True,False,4711,1.73,88.8,57.94,59.27,52.38
NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v2,-1,32,32768,False,False,5954,1.78,65.74,70.29,33.93,71.17
gpt-3.5-turbo-0613 (val),-1,100,4095,True,False,921,1.78,71.48,66.41,41.43,67.9
google/electra-large-discriminator,334,31,512,True,False,4700,1.84,67.87,48.08,55.46,70.66
distilbert/distilroberta-base,82,50,512,True,False,17448,1.85,90.04,56.08,54.9,49.36
