model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,fone,fosent,scala_fo,foqa
"gpt-4-1106-preview (few-shot, val)",-1,100,128000,True,False,576,2.18,86.51,38.22,35.09,58.65
ThatsGroes/gemma-2-27b-it-FP8-Dynamic (few-shot),28411,256,4096,True,False,3633,2.41,81.3,60.99,12.49,48.47
vesteinn/FoBERT,124,50,512,True,False,15623,2.41,91.31,10.69,64.39,27.09
"gpt-4o-2024-05-13 (zero-shot, val)",-1,200,8191,True,False,637,2.8,68.0,27.3,28.09,58.59
NbAiLab/nb-roberta-base-scandi-1e4,277,250,512,True,False,15074,2.87,90.52,11.53,44.99,25.14
"gpt-4o-mini-2024-07-18 (zero-shot, val)",-1,200,8191,True,False,908,2.93,53.92,35.05,23.12,54.99
sentence-transformers/use-cmlm-multilingual,470,501,512,True,False,30231,2.99,88.81,15.45,30.92,25.48
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),8030,128,8192,True,False,1007,3.02,70.61,45.78,4.58,50.67
microsoft/mdeberta-v3-base,278,251,512,True,False,20637,3.02,88.6,6.7,46.81,20.96
meta-llama/Llama-3.1-8B-Instruct (few-shot),8030,128,131072,True,False,1005,3.09,67.67,48.54,3.89,47.07
setu4993/LaBSE,470,501,512,True,False,25418,3.11,89.16,21.57,22.76,30.55
meta-llama/Llama-3.1-8B (few-shot),8030,128,131072,True,False,2610,3.13,65.65,47.04,3.55,45.01
"gpt-4o-mini-2024-07-18 (few-shot, val)",-1,200,8191,True,False,784,3.16,73.8,39.45,34.78,0.87
"claude-3-5-sonnet-20241022 (zero-shot, val)",-1,-1,200000,True,False,193,3.17,72.52,8.17,32.38,45.34
"gpt-4-1106-preview (zero-shot, val)",-1,100,8191,True,False,436,3.25,57.52,13.18,28.03,59.06
"gpt-4o-2024-05-13 (few-shot, val)",-1,200,128000,True,False,916,3.25,81.86,27.3,-0.97,56.45
pere/roberta-base-exp-32,277,250,512,True,False,15081,3.41,90.6,11.28,22.86,24.9
vesteinn/ScandiBERT-no-faroese,124,50,512,True,False,15436,3.46,88.14,6.88,27.71,20.47
ibm-granite/granite-3.0-8b-base (few-shot),8171,49,4224,True,False,973,3.49,61.47,31.99,1.44,41.54
mistralai/Mistral-7B-Instruct-v0.2 (few-shot),7242,32,32768,False,False,2370,3.53,61.28,32.07,1.68,39.0
mistralai/Ministral-8B-Instruct-2410 (few-shot),8020,131,32768,True,False,2801,3.56,65.55,29.49,2.05,47.72
