model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,da_rank,no_rank,sv_rank,is_rank,fo_rank,de_rank,nl_rank,en_rank,dansk,angry_tweets,scala_da,scandiqa_da,norne_nb,norne_nn,norec,scala_nb,scala_nn,norquad,suc3,swerec,scala_sv,scandiqa_sv,mim_gold_ner,hotter_and_colder_sentiment,scala_is,nqii,fone,fosent,scala_fo,foqa,germeval,sb10k,scala_de,germanquad,conll_nl,dutch_social,scala_nl,squad_nl,conll_en,sst5,scala_en,squad
"gpt-4-1106-preview (few-shot, val)",-1,100,128000,True,False,576,1.41,1.23,1.37,1.2,1.22,1.4,1.5,1.95,1.38,66.8,61.62,66.84,56.85,77.48,78.7,62.55,74.45,56.31,44.67,74.45,77.59,71.35,56.56,86.37,49.59,43.03,37.26,86.51,38.22,35.09,58.65,68.94,60.47,51.26,30.04,66.44,14.22,72.3,57.81,81.79,67.55,51.21,66.6
microsoft/mdeberta-v3-base,279,251,512,True,False,20637,1.6,1.62,1.35,1.38,1.25,2.15,1.66,2.06,1.35,72.9,43.38,67.05,42.15,91.9,86.81,53.69,70.55,61.21,48.82,78.84,75.24,72.3,44.74,81.12,45.3,54.11,30.93,88.6,6.7,46.81,20.96,77.42,50.9,59.38,20.28,84.47,5.16,71.23,46.43,91.83,53.75,62.11,62.1
"gpt-4o-2024-05-13 (few-shot, val)",-1,200,128000,True,False,916,1.65,1.34,1.38,1.2,1.19,2.82,1.69,2.14,1.48,71.15,49.42,64.59,57.35,79.07,81.56,66.66,64.53,54.7,43.51,76.66,77.16,68.99,57.96,81.19,49.86,51.1,29.64,81.86,27.3,-0.97,56.45,69.99,54.82,43.66,30.06,76.75,10.8,56.26,55.55,83.48,62.74,46.56,65.41
google/rembert,576,250,256,True,False,11736,1.7,1.54,1.28,1.35,1.57,2.94,1.21,2.29,1.4,70.19,50.19,69.72,39.85,88.7,86.11,54.19,69.83,54.84,58.18,78.23,75.99,72.17,46.0,78.05,36.87,48.29,29.38,87.35,0.04,14.65,36.1,77.62,60.65,62.6,33.62,75.49,4.79,66.47,55.7,90.17,51.74,55.55,69.02
setu4993/LaBSE,471,501,512,True,False,25418,1.73,1.78,1.57,1.53,2.02,2.44,1.53,1.42,1.59,71.24,46.5,52.92,40.08,90.58,85.21,54.26,59.44,49.3,46.42,77.78,73.58,60.36,41.71,80.45,46.4,36.92,11.75,89.16,21.57,22.76,30.55,79.44,58.65,52.19,23.66,82.02,33.99,60.77,41.55,90.33,52.93,50.7,53.77
intfloat/multilingual-e5-large,560,250,512,True,False,6732,1.74,1.53,1.47,1.38,2.46,3.09,1.33,1.35,1.3,69.5,55.07,57.67,46.71,89.86,84.32,61.52,62.34,34.88,53.01,80.36,79.65,63.15,46.99,78.43,48.52,10.78,13.79,88.39,18.28,2.85,31.03,79.73,64.78,47.24,28.11,82.31,32.64,58.51,45.32,91.69,64.37,53.58,60.47
intfloat/multilingual-e5-large-instruct,560,250,514,True,False,5947,1.83,1.82,1.74,1.45,2.46,2.99,1.33,1.59,1.26,69.86,55.45,31.14,45.51,89.27,83.78,63.35,55.71,12.32,38.74,79.5,79.48,53.01,45.68,78.32,50.1,8.11,13.93,88.64,23.63,2.05,24.09,79.77,65.72,49.82,28.42,83.68,27.19,51.8,46.07,91.43,66.42,53.05,61.34
FacebookAI/xlm-roberta-large,560,250,512,True,False,17897,1.92,1.6,1.44,1.56,2.04,3.66,1.26,2.01,1.76,72.74,48.33,57.3,43.57,91.66,86.19,50.25,55.51,43.89,57.57,80.33,76.63,49.72,46.64,82.83,48.41,22.78,15.72,87.85,5.14,1.17,27.72,80.64,63.02,54.83,29.09,83.49,8.82,64.8,50.72,89.81,41.97,35.55,68.88
AI-Sweden-Models/roberta-large-1160k,355,50,512,True,False,14014,2.12,1.3,1.08,1.18,2.94,3.25,2.62,3.26,1.36,74.16,51.2,73.87,49.34,92.01,87.17,60.11,72.85,65.56,60.38,82.65,77.25,77.9,49.64,74.3,38.53,2.06,11.47,88.24,6.42,1.73,35.08,68.93,46.81,3.39,18.62,70.92,3.5,2.06,41.4,89.53,53.9,55.31,69.89
intfloat/multilingual-e5-base,278,250,512,True,False,14965,2.12,1.88,2.0,1.69,2.66,3.45,1.79,1.98,1.52,68.7,49.88,44.2,39.9,88.26,81.37,54.61,50.35,22.15,31.77,79.02,76.06,50.19,40.65,75.46,42.08,15.21,10.82,87.44,10.97,7.38,14.8,74.79,63.29,45.32,16.42,79.12,27.67,39.28,35.71,89.65,61.46,51.32,50.78
Nexusflow/Starling-LM-7B-beta (few-shot),7242,32,8192,False,False,5876,2.17,1.96,2.16,1.88,3.03,2.71,1.88,2.24,1.48,53.2,51.75,32.72,56.44,66.22,64.14,55.48,26.13,17.32,49.75,60.38,77.49,29.32,56.79,49.2,28.82,4.45,24.61,66.98,37.7,5.8,44.88,65.01,51.8,36.18,32.12,64.47,13.83,45.69,58.03,71.81,69.98,45.34,72.49
mistralai/Ministral-8B-Instruct-2410 (few-shot),8020,131,32768,True,False,5821,2.17,2.08,2.21,1.85,2.47,2.85,1.82,2.36,1.74,52.49,49.67,22.8,57.07,69.85,68.83,54.49,28.55,17.47,43.55,67.49,76.74,22.37,57.15,56.09,39.51,8.51,29.23,67.52,29.34,3.35,49.62,66.0,54.76,33.55,32.69,66.51,13.55,34.46,59.23,72.4,63.46,35.86,68.42
meta-llama/Llama-3.1-8B-Instruct (few-shot),8030,128,131073,True,False,2411,2.22,2.28,2.28,1.96,2.41,2.66,1.91,2.45,1.81,57.19,51.3,10.31,48.8,74.77,72.8,57.3,5.23,11.51,43.93,71.52,80.46,12.29,53.54,55.09,39.03,8.45,29.65,71.04,36.73,1.59,46.33,67.61,59.96,28.25,28.79,69.76,15.51,37.58,41.26,76.95,68.12,34.34,47.88
meta-llama/Llama-3.1-8B (few-shot),8030,128,131073,True,False,2439,2.22,2.13,2.15,1.73,2.58,3.14,1.86,2.39,1.76,47.68,49.71,25.48,60.31,64.62,65.1,52.87,28.34,22.4,53.2,63.85,79.96,31.7,59.33,52.57,44.0,4.87,30.12,65.43,24.35,1.12,51.86,60.46,58.57,26.25,34.85,64.79,11.95,32.97,63.89,69.86,66.76,30.96,71.39
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),8030,128,8192,True,False,4909,2.23,2.17,2.16,2.11,2.57,2.6,1.91,2.49,1.86,57.74,48.43,27.12,46.76,74.47,72.93,50.62,27.77,20.35,42.9,69.67,59.93,27.63,49.84,61.69,34.95,6.1,31.52,73.76,40.84,3.47,49.53,68.18,58.33,29.12,28.68,68.72,14.67,32.91,45.36,75.02,67.64,32.29,54.84
meta-llama/Meta-Llama-3-8B (few-shot),8030,128,8192,True,False,4687,2.29,2.09,2.28,1.81,2.5,3.16,2.04,2.56,1.92,46.31,51.29,25.7,59.79,61.48,61.58,49.87,21.2,19.65,53.35,60.36,79.74,28.24,59.73,48.7,38.9,7.49,29.56,61.11,19.96,2.02,50.34,56.0,56.4,22.01,35.39,62.26,10.45,30.3,62.99,66.31,64.3,28.18,70.38
ZurichNLP/unsup-simcse-xlm-roberta-base,278,250,512,True,False,34520,2.31,2.3,2.19,1.95,2.93,3.21,2.05,1.84,2.0,65.1,45.07,26.83,29.92,86.56,80.57,49.62,38.45,11.38,31.5,75.49,71.12,36.69,33.55,75.27,46.33,3.47,7.67,84.14,21.2,1.33,14.2,74.5,58.23,34.74,11.19,78.45,22.67,54.92,31.82,85.88,51.46,35.83,43.26
cardiffnlp/twitter-xlm-roberta-base,278,250,512,True,False,34475,2.42,2.08,2.04,1.86,2.62,4.07,2.22,2.28,2.22,70.1,45.3,51.74,22.01,87.7,81.41,48.34,55.3,37.46,24.49,72.49,70.69,56.6,31.89,72.69,35.62,28.72,8.46,83.96,5.16,1.05,0.0,74.89,63.01,36.6,0.65,77.15,18.78,56.72,14.61,87.09,55.4,39.78,6.2
CohereForAI/aya-expanse-8b (few-shot),8028,256,8192,False,False,5581,2.47,2.18,2.63,2.11,3.37,2.89,2.04,2.67,1.87,51.32,52.0,18.48,52.43,66.55,63.63,38.61,15.8,12.3,43.26,57.38,78.43,14.52,53.14,28.98,19.83,4.93,24.72,68.63,29.07,1.95,45.04,61.29,59.19,33.31,22.29,62.07,11.09,35.14,49.15,66.61,68.71,34.72,57.9
ibm-granite/granite-3.0-8b-base (few-shot),8171,49,4097,True,False,5116,2.5,2.29,2.53,2.13,3.7,3.03,2.05,2.43,1.84,44.58,47.16,19.2,58.41,49.94,52.17,53.27,17.22,12.01,45.04,44.8,75.92,24.84,56.71,37.82,2.6,-0.12,21.59,61.47,31.99,1.44,41.54,52.61,61.7,23.89,33.72,53.21,13.72,40.85,62.41,53.37,68.88,37.17,69.02
mistralai/Mistral-7B-v0.1 (few-shot),7242,32,32768,True,False,2657,2.5,2.45,2.65,2.16,2.99,3.12,2.13,2.72,1.82,45.42,43.16,8.79,59.43,52.0,55.12,47.25,8.66,6.8,46.86,53.34,80.0,4.61,58.99,47.24,26.07,1.35,25.7,62.63,25.47,2.84,44.06,55.37,54.27,23.12,31.89,58.15,7.94,25.41,62.56,63.4,68.17,30.92,73.45
ibm-granite/granite-3.0-8b-instruct (few-shot),8171,49,4096,True,False,5090,2.53,2.4,2.54,2.23,3.47,3.03,2.11,2.71,1.77,44.92,49.31,10.14,57.34,53.79,56.13,51.36,6.83,8.09,48.01,44.94,76.78,16.96,56.83,42.67,9.95,1.11,22.25,59.96,28.33,2.24,39.52,54.68,55.48,26.89,31.27,53.62,13.37,23.47,61.2,62.84,68.55,41.05,66.25
CohereForAI/aya-23-8B (few-shot),8028,256,8192,False,False,5608,2.54,2.41,2.82,2.11,3.29,3.38,1.86,2.64,1.79,47.08,47.16,8.41,58.83,60.94,59.61,35.73,6.18,4.0,46.52,60.04,76.21,7.54,58.6,47.16,19.77,3.84,21.75,62.22,25.58,0.01,38.7,58.69,56.49,30.04,36.36,60.81,7.9,31.12,63.0,61.14,69.68,32.57,75.82
mistralai/Mistral-7B-v0.3 (few-shot),7248,33,32768,True,False,4120,2.54,2.36,2.72,2.18,3.0,3.28,2.13,2.83,1.84,43.6,45.92,15.43,59.13,50.56,52.65,44.61,12.1,9.3,45.15,49.18,79.08,11.06,58.98,44.68,31.17,0.12,25.52,61.32,23.3,1.3,44.98,55.41,52.58,24.1,31.52,56.52,7.02,23.41,61.9,61.02,67.29,30.1,73.59
utter-project/EuroLLM-9B-Instruct (few-shot),9152,128,4096,False,False,5763,2.57,2.19,2.67,2.1,3.58,3.15,2.11,2.61,2.18,34.0,53.97,32.21,57.1,40.91,42.91,52.62,9.7,11.98,47.36,40.59,76.02,33.98,56.98,24.92,9.76,0.15,28.18,49.32,34.21,0.16,46.06,40.85,56.53,24.74,38.2,43.06,11.95,40.85,63.42,44.81,62.54,28.1,71.71
senseable/WestLake-7B-v2 (few-shot),7242,32,32768,False,False,5993,2.59,2.28,2.49,2.26,3.38,3.74,2.08,2.56,1.94,52.61,49.81,19.64,48.03,64.37,62.77,50.6,18.09,12.25,38.34,58.9,67.74,16.52,49.41,56.71,7.92,3.44,21.55,67.42,20.01,7.02,0.65,64.38,54.44,26.03,25.68,64.25,13.66,28.59,49.64,70.62,67.78,30.99,49.56
Twitter/twhin-bert-base,279,250,512,True,False,11514,2.63,2.36,2.57,1.99,2.86,3.86,2.24,2.92,2.25,60.01,42.17,29.43,29.79,84.11,77.22,37.02,35.42,6.87,25.98,70.17,66.62,46.72,31.38,70.38,40.22,11.09,7.67,84.0,3.05,1.94,0.02,70.35,55.03,43.87,2.81,74.03,9.53,39.12,7.71,87.77,41.09,32.26,35.15
microsoft/xlm-align-base,278,250,512,True,False,14744,2.63,2.34,2.04,2.2,2.86,4.03,2.16,2.68,2.75,70.36,47.83,11.87,29.87,90.07,85.65,54.46,12.16,8.99,49.24,78.6,73.67,15.41,32.41,78.01,38.76,5.92,10.47,85.97,2.54,0.02,0.72,79.38,58.58,15.34,16.58,78.85,11.8,14.56,42.08,88.62,11.09,8.46,49.64
mistralai/Mistral-7B-Instruct-v0.2 (few-shot),7242,32,32768,False,False,634,2.64,2.38,2.82,2.36,3.26,3.06,2.38,2.8,2.09,44.89,48.09,19.06,51.56,53.42,54.34,38.79,17.06,11.0,35.74,47.92,62.9,19.95,52.51,43.11,22.55,3.4,19.18,61.28,32.07,1.68,39.0,55.1,47.69,24.14,23.93,55.56,12.37,21.5,50.77,62.11,59.91,30.66,58.27
timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot),7242,32,32768,True,False,5054,2.67,2.37,2.62,2.0,3.46,3.57,2.32,3.04,1.94,42.43,47.82,16.51,56.95,48.97,51.52,49.05,14.37,9.96,44.07,44.14,80.14,34.23,57.07,36.47,16.08,2.54,18.66,58.96,15.18,0.0,39.2,50.66,54.79,20.17,27.86,54.56,8.43,10.99,55.91,59.1,68.41,25.43,71.89
sentence-transformers/paraphrase-xlm-r-multilingual-v1,278,250,512,True,False,20154,2.7,2.4,2.67,2.25,3.24,3.93,2.54,2.37,2.18,61.17,46.39,38.61,19.9,81.26,74.05,49.93,38.26,25.17,0.0,70.22,71.33,39.6,18.65,65.15,33.26,1.15,9.56,80.92,12.97,1.19,0.0,69.45,57.94,21.81,0.33,70.59,21.37,45.86,5.2,84.05,54.92,45.85,4.13
sentence-transformers/stsb-xlm-r-multilingual,278,250,512,True,False,15040,2.7,2.5,2.67,2.26,3.16,3.56,2.48,2.77,2.18,58.52,42.26,34.8,19.6,80.08,74.59,52.16,36.3,14.21,0.0,68.94,72.77,40.21,20.09,66.23,37.79,0.04,10.04,82.97,18.07,2.93,0.0,67.47,52.85,29.59,0.73,66.85,20.56,35.56,5.04,82.39,57.35,47.29,4.29
ibm-granite/granite-8b-code-base-4k (few-shot),8055,49,4096,True,False,2313,2.71,2.6,2.78,2.31,3.59,3.34,2.32,2.75,1.95,48.44,39.07,9.72,51.18,68.4,65.15,42.0,5.2,3.32,37.51,59.77,74.45,3.97,50.18,50.89,9.18,0.5,17.43,66.82,26.68,-0.36,36.47,59.07,49.75,14.71,29.45,63.29,13.81,8.16,56.64,72.76,62.35,21.57,69.8
Twitter/twhin-bert-large,561,250,512,True,False,9707,2.75,2.59,2.89,2.33,3.17,3.86,2.28,2.89,2.03,66.39,39.36,7.06,33.88,86.26,80.1,34.17,12.11,4.28,11.74,74.26,63.35,16.07,36.77,71.48,32.07,2.2,8.19,84.73,-0.64,1.37,4.15,74.36,53.52,22.26,11.68,77.35,6.55,18.25,28.37,89.5,45.98,30.58,48.44
Geotrend/distilbert-base-25lang-cased,109,85,512,True,False,26099,2.79,2.65,2.62,2.32,3.35,3.87,2.42,2.8,2.33,58.44,31.81,34.13,27.6,83.59,80.29,33.19,32.6,24.97,19.93,70.56,60.69,30.83,31.41,65.76,29.56,2.08,6.81,83.21,3.9,2.37,1.35,72.97,41.51,45.39,1.89,75.02,7.45,45.28,20.18,87.08,36.77,37.1,26.99
occiglot/occiglot-7b-eu5-instruct (few-shot),7242,32,32768,False,False,2088,2.79,2.69,2.86,2.33,3.5,3.68,2.25,2.92,2.08,40.19,42.31,1.14,57.89,45.5,45.96,44.46,0.0,0.0,52.19,47.67,71.73,7.9,57.78,40.71,14.7,0.71,20.66,60.37,8.21,0.0,43.69,52.63,43.16,27.09,34.01,53.78,7.78,16.23,63.09,56.9,62.1,20.17,75.29
ibm-granite/granite-8b-code-instruct-4k (few-shot),8055,49,4096,True,False,5617,2.81,2.67,2.82,2.35,3.75,3.45,2.54,2.85,2.02,45.9,37.11,11.7,50.11,66.91,62.82,40.71,9.5,6.74,32.83,52.85,73.93,8.27,48.49,43.2,2.54,0.0,14.28,60.46,21.59,0.51,33.54,54.45,43.62,15.24,26.0,60.72,12.38,10.96,51.2,72.59,61.61,18.37,66.68
occiglot/occiglot-7b-eu5 (few-shot),7242,32,32768,True,False,2219,2.82,2.64,2.88,2.31,3.59,3.67,2.27,3.01,2.18,37.93,44.62,0.28,58.05,45.28,46.0,44.95,0.0,0.0,43.88,49.02,76.56,2.18,58.98,40.08,15.49,1.59,15.98,58.67,13.6,0.0,40.95,51.39,47.3,21.83,31.55,51.31,7.41,13.04,59.28,55.37,63.32,18.92,72.38
mistralai/Mistral-7B-Instruct-v0.1 (few-shot),7242,32,32768,False,False,634,2.83,2.53,2.84,2.4,3.68,3.68,2.49,3.03,1.97,37.93,44.49,14.09,51.38,50.08,51.27,43.65,14.09,8.28,37.23,45.01,73.33,11.59,52.12,36.04,12.93,-0.36,18.06,55.42,15.85,1.11,33.54,47.19,47.26,22.32,24.36,52.72,7.91,18.14,52.75,57.58,61.44,34.92,65.38
meta-llama/Llama-3.2-3B-Instruct (few-shot),3213,128,131073,False,False,10424,2.85,2.62,3.09,2.36,3.63,3.41,2.66,3.06,2.0,41.12,42.77,11.52,51.14,49.66,51.98,44.13,0.67,1.11,28.62,43.74,76.98,16.01,48.38,27.57,10.07,-1.39,22.98,58.24,13.76,1.77,45.13,55.52,50.52,9.87,20.2,43.66,12.87,17.94,47.77,68.44,66.0,32.04,49.54
