model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,mim_gold_ner,hotter_and_colder_sentiment,scala_is,nqii,rrn,arc_is,winogrande_is
"gpt-4-1106-preview (few-shot, val)",-1,100,128000,True,False,576,1.14,86.37,49.59,43.03,37.26,69.61,89.09,72.03
"gpt-4o-2024-05-13 (few-shot, val)",-1,200,128000,True,False,916,1.19,81.19,49.86,51.1,29.64,68.25,91.27,70.85
"gpt-4o-mini-2024-07-18 (few-shot, val)",-1,200,8191,True,False,784,1.94,64.69,56.18,45.52,15.8,67.06,82.1,42.82
"gpt-4-1106-preview (zero-shot, val)",-1,100,8191,True,False,436,1.97,30.39,47.47,43.3,29.82,63.89,86.79,54.76
"gpt-4o-2024-05-13 (zero-shot, val)",-1,200,8191,True,False,637,2.03,72.85,53.43,49.26,27.36,67.01,78.98,9.83
"gpt-4o-mini-2024-07-18 (zero-shot, val)",-1,200,8191,True,False,908,2.42,31.11,50.02,35.85,26.93,66.48,72.8,28.63
ThatsGroes/gemma-2-27b-it-FP8-Dynamic (few-shot),28411,256,4096,True,False,3633,2.44,67.23,50.38,20.01,21.18,67.61,66.74,33.03
"claude-3-5-sonnet-20241022 (zero-shot, val)",-1,-1,200000,True,False,193,2.69,61.7,51.24,52.43,22.92,66.02,15.97,5.31
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),8030,128,8192,True,False,1007,3.18,60.2,38.09,9.14,28.66,67.5,17.93,5.59
meta-llama/Llama-3.1-8B-Instruct (few-shot),8030,128,131072,True,False,1005,3.23,46.48,39.91,11.72,25.91,67.67,25.83,6.4
meta-llama/Llama-3.1-8B (few-shot),8030,128,131072,True,False,2986,3.28,52.97,41.29,5.95,31.99,65.19,21.56,4.44
meta-llama/Meta-Llama-3-8B (few-shot),8030,128,8192,True,False,1335,3.31,50.45,34.68,8.69,31.94,65.22,19.93,4.52
mistralai/Ministral-8B-Instruct-2410 (few-shot),8020,131,32768,True,False,1302,3.49,47.1,24.43,7.19,28.73,66.62,21.98,0.1
mhenrichsen/hestenettetLM (few-shot),7242,32,4096,True,False,1151,3.7,50.99,24.17,1.15,27.31,56.73,8.81,3.23
mistralai/Mistral-7B-v0.1 (few-shot),7242,32,4096,True,False,1446,3.7,50.69,24.38,1.46,27.11,56.76,8.71,3.21
senseable/WestLake-7B-v2 (few-shot),7242,32,32768,False,False,5993,3.76,56.71,7.92,3.44,21.55,65.39,9.11,3.3
mistralai/Mistral-7B-v0.3 (few-shot),7248,33,32768,True,False,1364,3.81,46.73,26.28,1.5,25.17,55.71,7.21,2.09
meta-llama/Llama-3.2-3B (few-shot),3213,128,131073,True,False,3713,3.83,42.04,14.53,0.0,24.07,61.8,13.79,0.25
CohereForAI/aya-expanse-8b (few-shot),8028,256,8192,False,False,2686,3.84,28.98,19.83,4.93,24.72,63.45,10.97,4.23
Nexusflow/Starling-LM-7B-beta (few-shot),7242,32,4096,False,False,4136,3.84,42.23,27.93,6.38,19.39,61.92,4.22,0.31
AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct (few-shot),7111,64,2048,True,False,1473,3.91,19.41,44.79,1.93,21.13,61.9,4.05,-2.29
occiglot/occiglot-7b-eu5-instruct (few-shot),7242,32,32768,False,False,2088,3.91,40.71,14.7,0.71,20.66,65.25,5.35,0.35
